Age,Stream,Internships,CGPA,HistoryOfBacklogs,PlacedOrNot
24,Information Technology,1,6,0,1
26,Electrical,1,8,0,1
23,Computer Science,1,6,0,1
23,Civil,1,7,0,0
26,Information Technology,1,7,0,1
26,Civil,0,7,0,0
24,Computer Science,1,7,0,1
23,Information Technology,0,8,0,1
26,Information Technology,1,6,1,1
23,Electronics And Communication,1,6,1,0
24,Civil,0,7,0,0
24,Computer Science,1,6,0,1
25,Information Technology,1,6,0,1
25,Computer Science,0,8,0,1
26,Civil,0,8,0,1
24,Mechanical,0,6,0,1
26,Electrical,1,8,0,1
25,Information Technology,1,8,0,1
22,Computer Science,0,6,0,1
21,Information Technology,0,6,0,1
22,Electrical,1,6,0,0
22,Information Technology,1,6,0,1
22,Computer Science,1,6,0,1
22,Electronics And Communication,1,8,0,1
21,Computer Science,1,6,0,1
22,Computer Science,1,6,0,0
21,Information Technology,1,6,0,1
21,Electrical,0,8,0,1
22,Mechanical,0,7,0,0
22,Computer Science,2,8,0,1
22,Computer Science,1,8,0,1
22,Computer Science,1,8,0,1
21,Information Technology,0,7,0,1
21,Electronics And Communication,0,6,0,0
21,Electrical,1,6,0,0
22,Computer Science,1,6,0,1
22,Electrical,0,8,0,1
21,Electrical,1,7,1,1
21,Mechanical,1,7,0,0
22,Electrical,0,7,0,0
21,Information Technology,2,8,0,1
22,Mechanical,0,8,0,1
21,Computer Science,1,8,0,1
22,Civil,0,6,1,0
21,Information Technology,0,6,0,0
21,Electronics And Communication,1,8,1,1
22,Information Technology,1,8,0,1
22,Mechanical,1,8,0,1
22,Civil,0,8,0,1
22,Civil,0,6,0,0
22,Computer Science,1,8,0,1
22,Electronics And Communication,1,8,0,1
22,Computer Science,2,8,1,1
22,Electrical,0,8,0,1
22,Information Technology,1,7,0,1
22,Computer Science,0,8,0,1
22,Electrical,0,7,0,0
21,Electronics And Communication,0,8,1,1
22,Information Technology,0,7,0,1
21,Computer Science,1,7,0,1
22,Civil,1,6,0,0
21,Information Technology,0,6,0,1
22,Computer Science,1,8,0,1
21,Mechanical,0,8,0,1
22,Civil,0,6,0,0
22,Computer Science,1,6,0,1
22,Computer Science,1,7,0,1
21,Civil,0,6,0,0
22,Computer Science,1,8,0,1
21,Civil,1,8,0,1
21,Electronics And Communication,1,6,1,0
22,Mechanical,1,8,0,1
22,Information Technology,0,8,0,1
21,Civil,0,6,0,0
22,Electronics And Communication,1,6,0,0
21,Mechanical,0,8,0,1
21,Electrical,0,7,0,0
22,Computer Science,0,6,0,1
22,Information Technology,1,7,0,1
21,Electronics And Communication,1,8,0,1
21,Computer Science,2,8,0,1
22,Civil,0,7,1,0
21,Electronics And Communication,0,7,0,0
21,Civil,0,8,0,1
21,Mechanical,0,7,0,0
21,Information Technology,0,7,0,1
21,Electronics And Communication,2,6,0,1
21,Information Technology,0,8,0,1
21,Electronics And Communication,0,7,0,1
21,Information Technology,1,8,0,1
22,Electronics And Communication,3,7,0,0
21,Mechanical,0,6,0,0
21,Mechanical,0,6,0,0
21,Mechanical,1,8,0,1
22,Electrical,0,8,0,1
21,Information Technology,0,6,0,1
22,Information Technology,0,6,0,1
22,Computer Science,1,6,0,0
21,Information Technology,0,6,0,1
22,Computer Science,1,7,0,1
22,Mechanical,1,8,0,1
22,Electrical,0,7,0,0
22,Electronics And Communication,1,6,1,0
21,Computer Science,0,7,0,1
22,Electrical,1,6,0,0
21,Electronics And Communication,0,6,0,0
22,Information Technology,0,8,1,1
22,Electronics And Communication,2,8,0,1
22,Mechanical,1,7,0,0
22,Information Technology,0,6,0,0
21,Electrical,0,7,0,1
22,Electronics And Communication,0,7,0,0
22,Computer Science,1,7,0,1
21,Computer Science,1,8,0,1
21,Computer Science,2,7,0,1
22,Information Technology,2,6,0,1
21,Information Technology,1,6,0,1
22,Civil,0,8,1,1
22,Mechanical,1,7,0,0
21,Computer Science,1,8,0,1
21,Mechanical,0,8,0,1
21,Electrical,2,7,1,1
21,Computer Science,0,6,0,1
22,Mechanical,1,6,0,0
22,Civil,0,6,0,0
21,Electronics And Communication,2,7,0,1
22,Information Technology,0,8,0,1
22,Electronics And Communication,0,6,0,0
22,Information Technology,1,6,0,1
22,Mechanical,1,7,0,0
22,Mechanical,1,6,0,0
22,Information Technology,0,8,0,1
22,Information Technology,0,8,0,1
21,Electrical,1,6,1,0
22,Computer Science,1,7,0,1
21,Computer Science,0,8,1,1
21,Information Technology,2,6,0,1
21,Electronics And Communication,1,8,1,1
22,Information Technology,0,8,0,1
22,Information Technology,0,8,0,1
22,Computer Science,0,6,1,1
22,Information Technology,1,8,0,1
21,Computer Science,0,6,1,0
21,Electrical,0,6,0,0
22,Information Technology,1,8,1,1
22,Mechanical,0,6,0,0
21,Information Technology,1,8,0,1
22,Electrical,1,7,0,0
22,Electronics And Communication,0,8,0,1
21,Information Technology,0,8,0,1
21,Computer Science,1,7,0,1
22,Information Technology,0,6,0,1
22,Information Technology,0,7,0,1
22,Civil,0,6,1,0
22,Information Technology,1,7,0,0
21,Electrical,1,8,0,1
21,Information Technology,2,7,0,1
22,Information Technology,3,8,0,1
22,Mechanical,0,7,1,0
21,Information Technology,1,6,0,0
22,Mechanical,1,7,1,0
21,Information Technology,1,6,0,0
21,Mechanical,0,8,0,1
22,Electrical,0,8,1,1
21,Information Technology,1,8,0,1
21,Computer Science,0,6,0,0
22,Information Technology,0,7,0,0
21,Mechanical,0,8,0,1
21,Information Technology,0,7,0,0
21,Electrical,0,6,0,0
21,Electronics And Communication,1,7,1,0
21,Civil,2,7,0,0
22,Civil,1,8,0,1
22,Information Technology,0,6,0,1
22,Information Technology,1,6,0,1
22,Civil,0,7,0,0
21,Computer Science,0,8,1,1
22,Information Technology,2,6,0,1
21,Civil,0,6,0,0
21,Civil,0,8,0,1
21,Computer Science,0,7,0,1
21,Civil,1,7,0,0
21,Civil,1,6,0,0
21,Information Technology,2,8,1,1
21,Mechanical,1,6,0,0
22,Information Technology,2,8,0,1
21,Civil,1,8,1,1
22,Information Technology,0,6,0,1
22,Electronics And Communication,0,7,0,0
21,Computer Science,1,8,0,1
22,Information Technology,2,7,0,1
22,Computer Science,1,7,0,1
22,Information Technology,1,7,1,1
22,Computer Science,1,7,0,1
22,Mechanical,1,7,1,0
22,Computer Science,1,7,0,0
22,Mechanical,0,7,0,0
22,Civil,0,8,0,1
22,Information Technology,2,7,1,1
22,Mechanical,0,7,0,0
22,Computer Science,0,6,0,1
22,Electronics And Communication,0,8,0,1
22,Computer Science,1,8,0,1
22,Computer Science,1,6,0,1
22,Computer Science,2,7,0,1
21,Computer Science,1,8,0,1
21,Information Technology,0,7,1,1
22,Computer Science,0,7,0,1
22,Information Technology,0,8,0,1
22,Information Technology,0,7,0,1
22,Computer Science,0,8,0,1
21,Civil,1,8,0,1
21,Mechanical,0,7,0,0
21,Information Technology,1,6,0,1
21,Information Technology,1,8,0,1
21,Mechanical,0,7,0,0
22,Computer Science,1,7,0,1
21,Computer Science,1,7,0,1
22,Mechanical,1,8,0,1
22,Information Technology,1,8,0,1
21,Information Technology,0,6,1,1
21,Information Technology,0,7,1,1
22,Information Technology,2,8,0,1
22,Electrical,0,8,1,1
22,Mechanical,0,7,0,0
22,Electronics And Communication,1,6,0,0
21,Mechanical,0,8,0,1
21,Electrical,0,7,0,0
22,Electronics And Communication,1,6,0,0
21,Civil,0,8,0,1
21,Civil,0,8,0,1
22,Computer Science,1,7,0,1
21,Mechanical,1,6,0,0
21,Information Technology,0,6,1,1
22,Computer Science,0,8,0,1
21,Computer Science,0,7,0,0
22,Civil,0,8,0,1
22,Computer Science,1,8,1,1
22,Civil,0,6,1,0
22,Mechanical,0,7,0,0
21,Electronics And Communication,1,7,1,1
22,Information Technology,0,8,0,1
22,Computer Science,0,6,0,1
22,Information Technology,1,8,0,1
21,Electronics And Communication,1,7,0,0
22,Computer Science,1,8,0,1
22,Computer Science,2,7,0,1
22,Electrical,0,6,0,0
22,Mechanical,0,6,0,0
22,Computer Science,2,7,0,1
22,Mechanical,0,7,0,0
22,Computer Science,1,7,0,1
21,Information Technology,1,6,1,1
21,Information Technology,1,6,1,1
22,Information Technology,1,7,0,1
21,Information Technology,2,8,1,1
21,Civil,0,6,0,0
21,Information Technology,0,6,0,1
22,Information Technology,2,8,0,1
22,Information Technology,1,8,0,1
21,Computer Science,1,8,1,1
22,Computer Science,1,7,0,1
22,Electrical,2,6,0,1
21,Civil,1,7,0,0
21,Information Technology,2,7,1,1
22,Information Technology,2,7,1,1
21,Electronics And Communication,1,6,1,0
21,Mechanical,1,8,1,1
22,Information Technology,1,8,0,1
22,Information Technology,2,6,1,1
21,Computer Science,1,6,1,0
22,Information Technology,2,7,0,1
22,Information Technology,1,8,0,1
21,Information Technology,2,7,1,1
21,Electrical,2,8,0,1
22,Civil,2,8,1,1
22,Information Technology,2,6,0,1
22,Information Technology,2,6,0,1
21,Civil,2,7,0,0
22,Electrical,1,7,1,0
22,Civil,2,7,0,0
21,Information Technology,2,8,0,1
21,Civil,1,6,0,0
22,Computer Science,2,6,0,1
21,Electronics And Communication,1,7,0,1
22,Information Technology,1,7,1,1
21,Mechanical,2,6,0,1
22,Mechanical,2,6,0,1
21,Information Technology,2,7,0,1
22,Computer Science,2,7,0,1
21,Electrical,1,6,0,0
21,Computer Science,1,6,0,1
22,Civil,2,6,0,1
22,Computer Science,1,7,0,1
21,Information Technology,1,8,0,1
21,Computer Science,2,7,0,1
22,Mechanical,1,6,0,0
22,Information Technology,1,8,0,1
22,Mechanical,1,6,0,0
21,Computer Science,1,8,1,1
21,Computer Science,2,8,1,1
22,Information Technology,2,8,0,1
22,Mechanical,1,7,0,0
22,Computer Science,2,7,0,0
21,Computer Science,2,8,0,1
22,Mechanical,1,7,0,0
21,Computer Science,2,7,0,1
22,Civil,1,6,0,0
22,Civil,2,8,1,1
21,Electrical,2,7,0,1
21,Computer Science,1,6,1,0
22,Computer Science,1,6,1,0
22,Electrical,2,7,0,0
22,Electronics And Communication,1,7,1,0
22,Civil,1,7,0,0
21,Electronics And Communication,2,6,0,1
21,Electrical,2,8,0,1
22,Computer Science,2,8,0,1
22,Electronics And Communication,2,6,0,1
22,Computer Science,1,7,0,0
21,Electronics And Communication,1,8,1,1
22,Electronics And Communication,1,7,0,0
21,Mechanical,2,8,1,1
21,Electronics And Communication,1,8,0,1
22,Electrical,2,7,0,0
21,Civil,2,7,0,0
22,Information Technology,1,7,0,0
22,Electrical,2,6,0,1
22,Electronics And Communication,2,6,0,1
22,Computer Science,1,6,0,0
21,Computer Science,1,8,0,1
22,Electronics And Communication,2,6,0,1
21,Information Technology,1,7,0,0
21,Information Technology,2,7,1,0
21,Computer Science,2,7,1,0
21,Computer Science,2,8,0,1
22,Information Technology,1,7,0,0
21,Civil,2,7,0,0
21,Computer Science,2,8,0,1
22,Mechanical,1,6,0,0
22,Mechanical,1,7,0,0
22,Information Technology,1,6,0,0
21,Electrical,1,6,0,0
21,Mechanical,1,6,0,0
22,Electrical,1,6,0,0
22,Mechanical,2,8,0,1
22,Information Technology,1,7,0,0
22,Civil,1,6,0,0
21,Information Technology,1,7,1,0
21,Computer Science,2,8,0,1
22,Electronics And Communication,2,7,0,0
22,Electronics And Communication,2,7,1,0
22,Mechanical,1,8,0,1
22,Computer Science,1,6,0,0
22,Electronics And Communication,1,7,1,0
22,Electronics And Communication,1,8,1,1
21,Electrical,1,8,1,1
22,Computer Science,1,7,0,0
22,Information Technology,1,9,0,1
21,Mechanical,2,8,0,1
21,Electronics And Communication,2,7,1,1
22,Civil,2,7,0,0
21,Information Technology,2,9,0,1
21,Civil,2,7,1,0
22,Information Technology,1,9,0,1
22,Computer Science,1,7,1,0
21,Computer Science,2,7,0,1
21,Information Technology,1,9,0,1
21,Computer Science,1,8,0,1
22,Mechanical,1,9,0,1
21,Computer Science,2,9,0,1
21,Electronics And Communication,2,9,0,1
21,Electronics And Communication,1,8,0,1
22,Computer Science,1,9,0,1
21,Electrical,1,8,1,1
21,Electronics And Communication,2,8,0,1
22,Information Technology,2,8,0,1
21,Mechanical,2,9,0,1
21,Electrical,2,7,1,1
21,Mechanical,1,9,1,1
22,Electrical,2,8,0,1
21,Civil,2,9,0,1
22,Mechanical,1,9,0,1
21,Information Technology,2,9,0,1
22,Electronics And Communication,1,8,1,1
22,Electronics And Communication,1,8,0,1
22,Electronics And Communication,2,9,0,1
21,Information Technology,1,8,0,1
22,Civil,1,8,0,1
21,Civil,1,7,0,0
21,Electrical,1,9,0,1
22,Computer Science,1,9,0,1
22,Information Technology,2,8,0,1
22,Civil,2,9,1,1
21,Mechanical,1,7,0,0
22,Information Technology,2,7,0,0
22,Civil,2,8,0,1
22,Computer Science,2,7,1,0
21,Information Technology,1,9,0,1
22,Computer Science,1,8,0,1
22,Civil,1,7,0,0
21,Computer Science,2,8,0,1
21,Civil,2,7,0,1
22,Electronics And Communication,2,8,0,1
22,Mechanical,1,7,0,0
21,Electrical,1,7,0,1
22,Electrical,2,8,0,1
22,Electrical,1,8,1,1
21,Computer Science,1,8,0,1
21,Mechanical,1,7,0,0
21,Information Technology,1,9,0,1
22,Electrical,0,9,0,1
21,Information Technology,0,9,0,1
21,Electronics And Communication,0,8,0,1
21,Computer Science,1,9,0,1
22,Information Technology,1,7,0,0
21,Mechanical,1,8,1,1
21,Mechanical,0,9,1,1
22,Information Technology,0,7,0,0
21,Information Technology,0,8,0,1
22,Civil,0,8,0,1
21,Mechanical,0,8,0,1
22,Computer Science,0,9,1,1
22,Information Technology,1,8,0,1
21,Mechanical,0,7,0,0
21,Electrical,0,7,0,0
22,Mechanical,0,9,0,1
22,Information Technology,1,7,0,0
22,Mechanical,2,9,0,1
21,Electrical,0,8,0,1
21,Information Technology,1,8,0,1
22,Information Technology,1,9,0,1
22,Computer Science,0,9,0,1
21,Civil,1,9,0,1
22,Information Technology,2,8,0,1
21,Information Technology,1,9,0,1
22,Civil,0,9,1,1
21,Electrical,0,8,0,1
22,Computer Science,1,9,0,1
22,Electrical,0,8,0,1
21,Electronics And Communication,1,8,0,1
21,Electrical,0,8,0,1
21,Civil,0,9,1,1
21,Computer Science,1,9,0,1
21,Civil,0,9,0,1
21,Information Technology,1,8,0,1
21,Civil,1,7,0,0
21,Computer Science,1,9,0,1
22,Electronics And Communication,0,9,0,1
22,Electronics And Communication,1,7,1,0
21,Electrical,1,8,0,1
21,Information Technology,1,8,0,1
22,Information Technology,1,8,0,1
22,Electrical,1,7,1,0
21,Computer Science,1,7,0,0
22,Computer Science,1,9,0,1
21,Computer Science,2,9,0,1
22,Computer Science,0,9,1,1
21,Information Technology,0,7,0,1
22,Mechanical,0,8,0,1
22,Computer Science,2,8,0,1
21,Electronics And Communication,0,8,0,1
21,Mechanical,1,9,0,1
22,Information Technology,1,9,0,1
21,Mechanical,0,9,0,1
21,Civil,0,9,0,1
21,Civil,0,7,0,0
21,Information Technology,0,9,0,1
21,Information Technology,0,9,0,1
21,Mechanical,1,7,0,0
21,Electronics And Communication,1,8,1,1
21,Mechanical,1,9,0,1
22,Computer Science,1,8,0,1
22,Computer Science,1,8,1,1
22,Information Technology,1,9,0,1
22,Electronics And Communication,0,7,0,0
21,Electronics And Communication,1,7,0,1
21,Electronics And Communication,1,8,1,1
22,Mechanical,0,9,0,1
22,Computer Science,1,9,0,1
22,Mechanical,0,7,0,0
21,Information Technology,0,7,0,1
22,Mechanical,1,9,0,1
22,Electrical,0,9,0,1
21,Computer Science,2,9,1,1
22,Computer Science,3,9,0,1
22,Mechanical,0,9,1,1
21,Information Technology,2,9,0,1
21,Mechanical,1,7,0,0
21,Electrical,1,7,0,1
22,Information Technology,0,9,0,1
22,Mechanical,1,7,0,0
22,Civil,0,7,0,0
21,Electronics And Communication,1,8,0,1
22,Information Technology,0,9,0,1
22,Mechanical,0,9,0,1
22,Mechanical,0,8,0,1
21,Computer Science,0,9,0,1
21,Information Technology,1,7,0,0
21,Electrical,2,8,1,1
21,Computer Science,1,9,0,1
22,Electrical,1,9,0,1
22,Information Technology,0,7,0,1
22,Information Technology,1,9,0,1
21,Mechanical,1,8,0,1
22,Computer Science,0,8,0,1
21,Civil,0,7,0,0
21,Computer Science,0,7,1,0
22,Information Technology,0,7,1,0
21,Computer Science,0,9,0,1
21,Mechanical,0,9,1,1
22,Mechanical,2,9,0,1
21,Civil,2,8,0,1
21,Electrical,0,8,0,1
21,Electrical,1,8,1,1
22,Electronics And Communication,1,7,0,0
22,Electronics And Communication,1,8,1,1
21,Computer Science,1,8,0,1
22,Computer Science,0,7,1,0
22,Computer Science,0,9,0,1
21,Electrical,0,8,0,1
21,Electrical,1,8,0,1
21,Electronics And Communication,1,7,0,0
22,Mechanical,1,7,0,0
22,Computer Science,1,7,0,0
21,Mechanical,1,8,0,1
21,Electronics And Communication,0,8,0,1
21,Electronics And Communication,1,9,0,1
21,Electronics And Communication,0,9,0,1
22,Computer Science,1,8,0,1
22,Information Technology,0,7,0,0
21,Mechanical,0,9,0,1
22,Mechanical,0,8,0,1
21,Information Technology,0,8,0,1
22,Mechanical,0,7,0,0
22,Information Technology,1,8,0,1
22,Information Technology,0,8,0,1
21,Information Technology,0,8,0,1
21,Mechanical,0,7,0,0
21,Electronics And Communication,0,8,0,1
22,Computer Science,0,9,0,1
22,Civil,1,7,0,0
22,Mechanical,2,7,0,0
21,Computer Science,1,9,0,1
21,Information Technology,0,9,0,1
22,Civil,0,7,1,0
21,Information Technology,1,8,0,1
21,Electronics And Communication,0,8,0,1
21,Electrical,0,9,0,1
21,Electronics And Communication,0,8,0,1
22,Information Technology,1,9,0,1
22,Mechanical,0,9,0,1
22,Computer Science,0,7,0,0
21,Information Technology,1,8,1,1
21,Information Technology,0,7,0,0
21,Electrical,0,7,0,0
22,Computer Science,1,8,0,1
21,Electronics And Communication,0,9,0,1
25,Information Technology,0,7,0,1
26,Electrical,0,7,0,0
24,Information Technology,1,6,1,1
25,Electronics And Communication,0,6,0,1
26,Computer Science,0,7,0,0
26,Computer Science,1,7,0,1
26,Computer Science,1,6,0,1
26,Information Technology,2,7,0,1
24,Computer Science,1,7,0,0
26,Civil,1,6,1,1
26,Computer Science,0,6,1,1
26,Computer Science,1,7,0,0
26,Information Technology,1,7,0,0
26,Mechanical,0,7,1,0
26,Electrical,0,6,0,1
25,Information Technology,1,7,0,0
26,Mechanical,0,6,0,1
24,Electronics And Communication,1,7,1,0
26,Electronics And Communication,0,6,0,1
26,Computer Science,0,6,0,1
24,Computer Science,0,6,1,1
24,Computer Science,0,6,1,1
24,Electrical,1,7,0,1
25,Mechanical,0,7,0,0
25,Computer Science,0,6,0,1
25,Computer Science,0,7,0,0
26,Mechanical,1,6,0,1
26,Computer Science,1,7,0,0
26,Computer Science,0,6,1,1
26,Electronics And Communication,1,7,1,0
25,Computer Science,0,7,0,0
25,Computer Science,2,6,0,1
25,Mechanical,0,7,0,0
26,Civil,0,7,0,0
25,Computer Science,1,7,0,1
26,Information Technology,1,6,0,1
26,Computer Science,0,7,0,1
26,Information Technology,0,7,0,1
26,Computer Science,1,6,0,1
26,Information Technology,0,7,0,0
24,Information Technology,1,7,0,0
24,Civil,0,6,0,1
25,Electronics And Communication,1,6,0,1
26,Mechanical,0,7,0,0
26,Mechanical,1,6,1,1
25,Computer Science,1,7,0,1
26,Computer Science,1,7,0,1
25,Computer Science,2,7,1,1
25,Computer Science,2,7,1,1
24,Computer Science,0,6,0,1
26,Electrical,0,6,0,1
24,Information Technology,0,7,0,1
26,Computer Science,1,7,0,1
26,Mechanical,1,7,1,0
24,Computer Science,1,7,0,1
26,Information Technology,0,6,0,1
25,Computer Science,0,6,1,1
25,Mechanical,1,6,0,1
26,Computer Science,1,6,0,1
25,Electronics And Communication,0,6,0,1
22,Civil,1,6,0,0
21,Electrical,0,6,0,0
22,Computer Science,1,7,0,0
21,Mechanical,0,6,0,0
21,Information Technology,0,7,0,0
22,Computer Science,1,7,0,0
21,Information Technology,1,7,1,0
22,Electrical,0,6,0,0
21,Information Technology,0,7,0,0
22,Information Technology,0,7,0,0
21,Information Technology,0,7,1,0
21,Information Technology,1,7,0,0
22,Electronics And Communication,1,7,0,0
22,Electronics And Communication,1,6,1,0
21,Electrical,1,7,0,1
22,Information Technology,1,6,0,0
21,Computer Science,1,6,0,0
21,Information Technology,1,6,0,0
21,Information Technology,0,7,1,0
22,Information Technology,0,6,0,0
21,Electronics And Communication,0,7,0,1
22,Electrical,1,6,1,0
21,Computer Science,1,7,0,0
21,Information Technology,0,7,0,0
21,Electronics And Communication,1,6,1,0
22,Information Technology,3,7,1,0
21,Computer Science,1,6,0,0
21,Mechanical,0,7,0,0
21,Computer Science,1,8,0,1
22,Information Technology,0,8,0,1
22,Information Technology,1,8,0,1
21,Electronics And Communication,1,7,1,0
21,Information Technology,1,6,0,0
21,Information Technology,1,8,0,1
22,Mechanical,0,8,0,1
22,Mechanical,0,7,1,0
22,Information Technology,2,8,0,1
22,Computer Science,0,6,1,0
21,Information Technology,2,6,0,1
22,Electrical,0,8,1,1
22,Civil,1,7,0,0
22,Civil,1,6,1,0
22,Information Technology,3,8,0,1
21,Electronics And Communication,1,7,0,0
22,Mechanical,0,6,0,0
22,Civil,0,8,1,1
22,Civil,0,7,1,0
21,Computer Science,0,8,1,1
22,Information Technology,1,6,0,0
22,Mechanical,0,6,0,0
21,Computer Science,2,6,0,1
22,Information Technology,0,8,1,1
22,Civil,0,6,0,0
22,Mechanical,1,8,0,1
21,Civil,2,7,1,0
21,Mechanical,0,7,0,0
21,Information Technology,0,6,1,0
21,Mechanical,0,6,1,0
22,Information Technology,0,7,1,0
22,Electronics And Communication,1,8,0,1
21,Information Technology,2,8,0,1
22,Electronics And Communication,1,7,0,0
22,Computer Science,1,8,0,1
22,Computer Science,1,7,0,0
21,Electronics And Communication,0,8,1,1
22,Mechanical,0,8,0,1
21,Computer Science,0,7,1,0
22,Electronics And Communication,0,7,0,0
22,Electronics And Communication,3,6,0,1
21,Electrical,0,8,0,1
21,Electronics And Communication,2,7,0,1
21,Electrical,0,7,0,0
21,Electrical,0,6,0,0
22,Computer Science,2,7,0,0
22,Information Technology,1,8,0,1
21,Electronics And Communication,0,7,0,0
22,Computer Science,0,6,0,0
21,Civil,2,8,0,1
21,Information Technology,1,6,0,0
21,Information Technology,0,6,0,0
21,Information Technology,0,7,1,0
22,Information Technology,1,6,0,0
22,Computer Science,1,6,0,0
21,Electrical,1,7,0,1
28,Computer Science,3,8,0,1
21,Computer Science,0,7,1,0
22,Information Technology,0,7,1,0
21,Computer Science,0,6,0,0
22,Electronics And Communication,0,8,0,1
22,Computer Science,1,6,0,0
21,Electrical,0,8,0,1
21,Information Technology,2,8,0,1
22,Computer Science,0,8,1,1
22,Electrical,1,8,0,1
22,Computer Science,0,6,0,0
21,Computer Science,1,6,0,0
22,Electronics And Communication,0,6,0,0
21,Electronics And Communication,1,6,0,0
21,Computer Science,0,7,0,0
22,Mechanical,0,6,0,0
22,Computer Science,1,8,0,1
21,Civil,0,8,0,1
22,Computer Science,1,8,0,1
22,Information Technology,0,7,0,0
22,Mechanical,1,7,1,0
21,Information Technology,1,6,0,0
22,Information Technology,2,8,0,1
21,Information Technology,1,8,0,1
21,Electrical,0,6,0,0
22,Information Technology,1,7,0,0
21,Information Technology,0,7,0,0
21,Electrical,0,8,0,1
21,Mechanical,0,7,0,0
21,Electronics And Communication,0,6,0,0
22,Information Technology,0,7,0,0
22,Mechanical,1,8,0,1
22,Computer Science,3,6,0,1
21,Electronics And Communication,1,6,0,0
22,Electronics And Communication,0,7,0,0
21,Computer Science,2,7,0,1
22,Electrical,0,6,0,0
21,Computer Science,0,6,0,0
22,Electronics And Communication,1,6,0,0
